epoch, accuracy, loss,
1,0.25,1.3863740980742,
2,0.595,1.3845890731385,
3,0.595,1.3812153816841,
4,0.595,1.3764404956856,
5,0.595,1.3704479246159,
6,0.595,1.3634115738812,
7,0.595,1.3554941588205,
8,0.595,1.3468457886293,
9,0.595,1.337607373789,
10,0.595,1.3279073729314,
11,0.595,1.3178597786386,
12,0.595,1.3075696608329,
13,0.595,1.2971336030555,
14,0.595,1.286636160627,
15,0.595,1.2761521889339,
16,0.595,1.2657478001512,
17,0.595,1.25547980055,
18,0.595,1.2453976859725,
19,0.595,1.2355430550493,
20,0.595,1.2259502816805,
21,0.595,1.2166474308842,
22,0.595,1.2076566005744,
23,0.595,1.1989952523454,
24,0.595,1.1906753697417,
25,0.595,1.1827047346682,
26,0.595,1.1750875627036,
27,0.595,1.1678245820323,
28,0.595,1.1609139340938,
29,0.595,1.1543508837241,
30,0.595,1.1481286470209,
31,0.595,1.1422383337706,
32,0.595,1.1366699607281,
33,0.595,1.131411944135,
34,0.595,1.126451733912,
35,0.595,1.1217764079732,
36,0.595,1.1173720920765,
37,0.595,1.1132247462177,
38,0.595,1.109320548862,
39,0.595,1.1056451624996,
40,0.595,1.1021844142069,
41,0.595,1.0989243361353,
42,0.595,1.0958513467483,
43,0.595,1.0929525347955,
44,0.595,1.0902149177835,
45,0.595,1.0876259750075,
46,0.595,1.0851734094551,
47,0.595,1.0828454624075,
48,0.595,1.0806308410686,
49,0.595,1.0785188064554,
50,0.595,1.076498686386,
51,0.595,1.074560421591,
52,0.595,1.0726946860481,
53,0.595,1.070891544359,
54,0.595,1.0691423563642,
55,0.595,1.067438591656,
56,0.595,1.0657725152996,
57,0.595,1.0641366123107,
58,0.595,1.0625235318291,
59,0.595,1.0609258219148,
60,0.595,1.0593364117995,
61,0.595,1.0577480458243,
62,0.595,1.0561535850921,
63,0.595,1.054546638537,
64,0.595,1.0529206510805,
65,0.595,1.0512691502102,
66,0.595,1.0495863345963,
67,0.595,1.0478668195399,
68,0.595,1.0461054354537,
69,0.595,1.0442974611249,
70,0.595,1.0424387067329,
71,0.595,1.0405244450245,
72,0.595,1.0385511598248,
73,0.595,1.0365155785019,
74,0.595,1.0344154665284,
75,0.595,1.0322495960123,
76,0.595,1.0300170306588,
77,0.595,1.0277180871094,
78,0.595,1.0253534345936,
79,0.595,1.0229253412583,
80,0.595,1.0204373917273,
81,0.595,1.0178932508615,
82,0.595,1.0152985109998,
83,0.595,1.0126605772982,
84,0.595,1.0099874367426,
85,0.595,1.0072865195971,
86,0.595,1.0045667006984,
87,0.595,1.0018364224336,
88,0.595,0.99910371468047,
89,0.595,0.99637637790509,
90,0.595,0.99366084448938,
91,0.595,0.99096139903508,
92,0.595,0.98828122250983,
93,0.595,0.98562187555779,
94,0.595,0.9829821288699,
95,0.595,0.98036100405949,
96,0.595,0.97775239629591,
97,0.595,0.97515251440651,
98,0.595,0.97255644113597,
99,0.595,0.96995808627983,
100,0.595,0.96735209667413,
101,0.595,0.9649394812142,
102,0.595,0.96248075898987,
103,0.595,0.95998620906114,
104,0.595,0.95746283287998,
105,0.595,0.95491564836374,
106,0.595,0.95235224333503,
107,0.595,0.94977694245749,
108,0.595,0.94719054212794,
109,0.595,0.94459807954565,
110,0.595,0.94200545536223,
111,0.595,0.93941358283609,
112,0.595,0.93682095701477,
113,0.595,0.93422911636104,
114,0.595,0.93163940635441,
115,0.595,0.92905344222607,
116,0.595,0.92647257774842,
117,0.595,0.92389706939161,
118,0.595,0.92132862754915,
119,0.595,0.91876900142674,
120,0.595,0.91622020595715,
121,0.595,0.91368440822099,
122,0.595,0.91115957367411,
123,0.595,0.90864580338133,
124,0.595,0.9061441495788,
125,0.595,0.90365419668698,
126,0.595,0.90117645326715,
127,0.595,0.89871424829088,
128,0.595,0.8962652859488,
129,0.595,0.89382893424326,
130,0.595,0.8914038699844,
131,0.595,0.88899096470383,
132,0.595,0.88659083332029,
133,0.595,0.88420537548249,
134,0.595,0.88183020043943,
135,0.595,0.87946660929989,
136,0.595,0.87711303920582,
137,0.595,0.87476879175462,
138,0.595,0.87243475544027,
139,0.595,0.87011115689612,
140,0.595,0.8677963374642,
141,0.595,0.86549026490153,
142,0.595,0.86319448568033,
143,0.595,0.8609072213402,
144,0.595,0.85863040720725,
145,0.595,0.85636235361284,
146,0.595,0.8541023108332,
147,0.595,0.85185017589497,
148,0.595,0.84960673740486,
149,0.595,0.84737044562865,
150,0.595,0.84514216827119,
151,0.595,0.84292304071039,
152,0.595,0.84071326066006,
153,0.595,0.8385114529762,
154,0.595,0.83631682785277,
155,0.595,0.83412951632145,
156,0.595,0.83572486414172,
157,0.595,0.83354579192421,
158,0.595,0.83137301520859,
159,0.595,0.82920749308299,
160,0.595,0.82704605091027,
161,0.595,0.82488945262052,
162,0.595,0.8227400866896,
163,0.595,0.82426281978976,
164,0.595,0.82212013731337,
165,0.595,0.82365645411131,
166,0.595,0.82527046445799,
167,0.595,0.82313165629805,
168,0.595,0.82099551627954,
169,0.595,0.8188668679338,
170,0.595,0.82042870430637,
171,0.595,0.81830909626652,
172,0.595,0.81619617968433,
173,0.595,0.81776850649377,
174,0.595,0.81566108361854,
175,0.595,0.81355937553385,
176,0.595,0.81146622186501,
177,0.595,0.80937895402468,
178,0.595,0.80729821681058,
179,0.595,0.80522485740012,
180,0.595,0.80315727995047,
181,0.595,0.80109284764814,
182,0.595,0.80270254831124,
183,0.595,0.8006546749503,
184,0.595,0.80229242051503,
185,0.595,0.80025475705227,
186,0.595,0.79822465469351,
187,0.595,0.79620245066443,
188,0.595,0.79419598975441,
189,0.595,0.79219308200855,
190,0.595,0.79020222721676,
191,0.595,0.78822187789162,
192,0.595,0.78624928342564,
193,0.595,0.78427881939849,
194,0.595,0.78591176537867,
195,0.595,0.783949014681,
196,0.595,0.79291317823416,
197,0.595,0.7909433052579,
198,0.595,0.78898042102682,
199,0.595,0.78702452663768,
200,0.595,0.78874242793904,
201,0.595,0.78329589039966,
202,0.595,0.77109943295775,
203,0.595,0.76976316740347,
204,0.595,0.76841737278555,
205,0.595,0.76700683466318,
206,0.595,0.76546838511228,
207,0.595,0.76379089523522,
208,0.595,0.76199138713181,
209,0.595,0.76011094418692,
210,0.595,0.75819463384318,
211,0.595,0.7597329957593,
212,0.595,0.76847628712737,
213,0.595,0.77025110290063,
214,0.595,0.76860774142781,
215,0.595,0.7742525648758,
216,0.595,0.77273228344047,
217,0.595,0.77491305031453,
218,0.595,0.78078932756721,
219,0.595,0.77920144488787,
220,0.595,0.77753500651588,
221,0.595,0.77578741364711,
222,0.595,0.7777086129387,
223,0.595,0.77582057829012,
224,0.595,0.77389162218391,
